[step   4500/50000] loss=0.1921  lr=4.92e-05  grad=1.33  71.9 sa/s
[step   4550/50000] loss=0.1889  lr=4.92e-05  grad=1.97  71.9 sa/s
[step   4600/50000] loss=0.1843  lr=4.92e-05  grad=2.55  71.9 sa/s
[step   4650/50000] loss=0.1883  lr=4.91e-05  grad=1.56  71.9 sa/s
[step   4700/50000] loss=0.1844  lr=4.91e-05  grad=1.45  71.9 sa/s
[step   4750/50000] loss=0.1825  lr=4.91e-05  grad=1.15  71.9 sa/s
[step   4800/50000] loss=0.1819  lr=4.91e-05  grad=1.63  71.8 sa/s
[step   4850/50000] loss=0.1792  lr=4.91e-05  grad=1.36  71.8 sa/s
[step   4900/50000] loss=0.1888  lr=4.90e-05  grad=2.09  71.9 sa/s
[step   4950/50000] loss=0.1816  lr=4.90e-05  grad=1.70  71.9 sa/s
[step   5000/50000] loss=0.1743  lr=4.90e-05  grad=1.21  71.9 sa/s
[step   5050/50000] loss=0.1728  lr=4.90e-05  grad=1.82  71.9 sa/s
[step   5100/50000] loss=0.1853  lr=4.89e-05  grad=2.39  71.9 sa/s
[step   5150/50000] loss=0.1770  lr=4.89e-05  grad=2.04  71.9 sa/s
[step   5200/50000] loss=0.1826  lr=4.89e-05  grad=1.19  71.9 sa/s
[step   5250/50000] loss=0.1754  lr=4.89e-05  grad=1.49  71.9 sa/s
[step   5300/50000] loss=0.1770  lr=4.88e-05  grad=1.30  71.9 sa/s
[step   5350/50000] loss=0.1790  lr=4.88e-05  grad=1.28  71.9 sa/s
[step   5400/50000] loss=0.1745  lr=4.88e-05  grad=1.86  71.9 sa/s
[step   5450/50000] loss=0.1750  lr=4.88e-05  grad=1.85  71.9 sa/s
[step   5500/50000] loss=0.1716  lr=4.88e-05  grad=0.88  71.9 sa/s
[step   5550/50000] loss=0.1732  lr=4.87e-05  grad=1.20  71.8 sa/s
[step   5600/50000] loss=0.1742  lr=4.87e-05  grad=1.37  71.9 sa/s
[step   5650/50000] loss=0.1715  lr=4.87e-05  grad=1.78  71.9 sa/s
[step   5700/50000] loss=0.1663  lr=4.87e-05  grad=2.22  71.9 sa/s
[step   5750/50000] loss=0.1694  lr=4.86e-05  grad=1.46  71.9 sa/s
[step   5800/50000] loss=0.1683  lr=4.86e-05  grad=1.05  71.9 sa/s
[step   5850/50000] loss=0.1699  lr=4.86e-05  grad=1.41  71.9 sa/s
[step   5900/50000] loss=0.1669  lr=4.85e-05  grad=2.32  71.9 sa/s
[step   5950/50000] loss=0.1731  lr=4.85e-05  grad=1.56  71.9 sa/s
[step   6000/50000] loss=0.1684  lr=4.85e-05  grad=1.73  71.9 sa/s
[eval    6000] val_loss=0.2065  (5.2s)
[ckpt] saved checkpoints/joint-run-b/last.pt
[step   6050/50000] loss=0.1693  lr=4.85e-05  grad=1.69  54.9 sa/s
[step   6100/50000] loss=0.1685  lr=4.84e-05  grad=1.10  71.8 sa/s
[step   6150/50000] loss=0.1672  lr=4.84e-05  grad=1.74  71.7 sa/s
[step   6200/50000] loss=0.1642  lr=4.84e-05  grad=1.78  71.8 sa/s
[step   6250/50000] loss=0.1647  lr=4.84e-05  grad=1.74  71.7 sa/s
[step   6300/50000] loss=0.1629  lr=4.83e-05  grad=1.53  71.8 sa/s
[step   6350/50000] loss=0.1584  lr=4.83e-05  grad=1.38  71.8 sa/s
[step   6400/50000] loss=0.1638  lr=4.83e-05  grad=1.06  71.8 sa/s
[step   6450/50000] loss=0.1672  lr=4.82e-05  grad=1.15  71.9 sa/s
[step   6500/50000] loss=0.1691  lr=4.82e-05  grad=1.45  71.8 sa/s
[step   6550/50000] loss=0.1696  lr=4.82e-05  grad=1.43  71.8 sa/s
[step   6600/50000] loss=0.1598  lr=4.82e-05  grad=1.17  71.8 sa/s
[step   6650/50000] loss=0.1575  lr=4.81e-05  grad=2.13  71.9 sa/s
[step   6700/50000] loss=0.1548  lr=4.81e-05  grad=1.23  71.9 sa/s
[step   6750/50000] loss=0.1578  lr=4.81e-05  grad=1.87  71.8 sa/s
[step   6800/50000] loss=0.1664  lr=4.80e-05  grad=1.13  71.8 sa/s
[step   6850/50000] loss=0.1637  lr=4.80e-05  grad=1.12  71.8 sa/s
[step   6900/50000] loss=0.1605  lr=4.80e-05  grad=2.24  71.7 sa/s
